"","Anio","Razon.Social","GrupoVentas","Nit","CostosSobreVentas","DTF","Desempleo","GasolCte","TRM","IPP","IPC"
"1","2016","SSANGYONG MOTOR COLOMBIA SA","bajo",805026621,1.11104669053656,6.74454545454545,9.24466979174562,7674.36545454545,3063.56727272727,115.7,93.11
"2","2016","CHINA AUMOTRIZ SA EN REORGANIZACION","bajo",830509877,1.07735727788965,6.74454545454545,9.24466979174562,7674.36545454545,3063.56727272727,115.7,93.11
"3","2016","KENWORTH DE LA MONTAÑA SAS","medio_alto",800125639,1.00824029785461,6.74454545454545,9.24466979174562,7674.36545454545,3063.56727272727,115.7,93.11
"4","2016","MARCALI INTERNACIONAL S.A.","bajo",800215494,1.02502485268945,6.74454545454545,9.24466979174562,7674.36545454545,3063.56727272727,115.7,93.11
"5","2016","AUTOMOTRIZ ESCANDINAVA S.A.S.","medio_bajo",900241784,0.982600030352625,6.74454545454545,9.24466979174562,7674.36545454545,3063.56727272727,115.7,93.11
"6","2016","PARRA ARANGO Y CIA S.A.","bajo",860508936,1.04651179301993,6.74454545454545,9.24466979174562,7674.36545454545,3063.56727272727,115.7,93.11
"7","2016","AUTOMOTORES COMAGRO SAS","medio_bajo",830006901,0.994317573787853,6.74454545454545,9.24466979174562,7674.36545454545,3063.56727272727,115.7,93.11
"8","2016","Industrias Ivor S.A Casa Inglesa","bajo",860001778,0.938551748804742,6.74454545454545,9.24466979174562,7674.36545454545,3063.56727272727,115.7,93.11
"9","2016","MAZDA DE COLOMBIA S.A.S","alto",900703240,0.951477486053967,6.74454545454545,9.24466979174562,7674.36545454545,3063.56727272727,115.7,93.11
"10","2016","VOLVO GROUP COLOMBIA S.A.S.","medio_alto",900315569,1.01155410669792,6.74454545454545,9.24466979174562,7674.36545454545,3063.56727272727,115.7,93.11
"11","2016","VEHICULOS DEL CAMINO SAS","medio_alto",811010832,0.998119321572308,6.74454545454545,9.24466979174562,7674.36545454545,3063.56727272727,115.7,93.11
"12","2016","MARCALI S.A.","medio_bajo",860001576,0.982948058144556,6.74454545454545,9.24466979174562,7674.36545454545,3063.56727272727,115.7,93.11
"13","2016","CASA TORO DE LA SABANA SAS","bajo",900283099,0.973867848042622,6.74454545454545,9.24466979174562,7674.36545454545,3063.56727272727,115.7,93.11
"14","2016","C I TOYOTA TSUSHO DE COLOMBIA S A","medio_alto",900229376,0.985898304175963,6.74454545454545,9.24466979174562,7674.36545454545,3063.56727272727,115.7,93.11
"15","2016","AUTOSUPERIOR S,A.S","medio_bajo",800029569,0.988458790854208,6.74454545454545,9.24466979174562,7674.36545454545,3063.56727272727,115.7,93.11
"16","2016","AUTOMOTORA S.A.S","bajo",800149138,1.00133091301669,6.74454545454545,9.24466979174562,7674.36545454545,3063.56727272727,115.7,93.11
"17","2016","DAIMLER COLOMBIA SA","alto",830044266,0.968382872387238,6.74454545454545,9.24466979174562,7674.36545454545,3063.56727272727,115.7,93.11
"18","2016","DISTRIBUIDOR HINO DE COLOMBIA","alto",900759679,0.948947012392176,6.74454545454545,9.24466979174562,7674.36545454545,3063.56727272727,115.7,93.11
"19","2016","PORSCHE COLOMBIA S.A.S.","alto",900466209,0.990519961169915,6.74454545454545,9.24466979174562,7674.36545454545,3063.56727272727,115.7,93.11
"20","2016","DERCO COLOMBIA SAS","alto",900327290,1.06427070213265,6.74454545454545,9.24466979174562,7674.36545454545,3063.56727272727,115.7,93.11
"21","2016","MOTORES DEL VALLE MOTOVALLE S. A. S.","alto",890301680,0.989560074266959,6.74454545454545,9.24466979174562,7674.36545454545,3063.56727272727,115.7,93.11
"22","2016","GLOBAL CAR WORLD SAS","bajo",900871523,1.02120064361633,6.74454545454545,9.24466979174562,7674.36545454545,3063.56727272727,115.7,93.11
"23","2016","LOS COCHES CJDR SAS","bajo",900622968,0.982359249220491,6.74454545454545,9.24466979174562,7674.36545454545,3063.56727272727,115.7,93.11
"24","2016","MARKIA S.A","bajo",800215496,1.00116095626907,6.74454545454545,9.24466979174562,7674.36545454545,3063.56727272727,115.7,93.11
"25","2016","AUTOMOTORES COMERCIALES AUTOCOM SA","medio_alto",900108579,1.03596776760273,6.74454545454545,9.24466979174562,7674.36545454545,3063.56727272727,115.7,93.11
"26","2016","NEOHYUNDAI S.A.S.","alto",900878893,1.05186013268418,6.74454545454545,9.24466979174562,7674.36545454545,3063.56727272727,115.7,93.11
"27","2016","Scania Colombia SAS","medio_alto",900353873,0.992266339754561,6.74454545454545,9.24466979174562,7674.36545454545,3063.56727272727,115.7,93.11
"28","2016","AUTOMAX S.A.S","bajo",900707055,1.00999294779242,6.74454545454545,9.24466979174562,7674.36545454545,3063.56727272727,115.7,93.11
"29","2017","AUTOMOTORES COMERCIALES AUTOCOM SA","medio_alto",900108579,1.13379271456771,5.98916666666667,9.37803886871435,8519.06166666667,2951.27083333333,126.22,96.92
"30","2017","Industrias Ivor S.A Casa Inglesa","bajo",860001778,0.961679430829666,5.98916666666667,9.37803886871435,8519.06166666667,2951.27083333333,126.22,96.92
"31","2017","CHINA AUMOTRIZ SA EN REORGANIZACION","bajo",830509877,1.27986483089173,5.98916666666667,9.37803886871435,8519.06166666667,2951.27083333333,126.22,96.92
"32","2017","KENWORTH DE LA MONTAÑA SAS","medio_alto",800125639,1.04457912381871,5.98916666666667,9.37803886871435,8519.06166666667,2951.27083333333,126.22,96.92
"33","2017","DAIMLER COLOMBIA SA","alto",830044266,1.02371793670522,5.98916666666667,9.37803886871435,8519.06166666667,2951.27083333333,126.22,96.92
